Serial No,Date,User Name,Bank Name,Account Number,Statement Period,Ending Balance,Daily Balance
1,2024-02-01,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,269617
2,2024-02-01,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,269617
3,2024-02-01,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,269617
4,2024-02-01,William Jhonson,JPMorgan Chase Bank,778901000056341009,2023-12-31_2024-02-01,260018.88,269617
5,2024-02-01,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,269619
6,2024-02-01,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,269619
7,2024-02-01,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,269619
8,2024-02-01,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,269619
9,2024-02-01,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,269619
10,2024-02-01,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,269619
11,2024-02-01,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,269619
12,2024-02-01,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,269619
13,2024-02-01,Anurag,JPMorgan Chase Bank,98765432100001,2023-12-31_2024-02-01,269618.88,269619
